filename,width,height,class,xmin,ymin,xmax,ymax
000001.jpg,1280,720,car,503,67,531,94
000001.jpg,1280,720,car,449,96,483,136
000001.jpg,1280,720,car,586,43,610,64
000001.jpg,1280,720,truck,374,106,472,232
000001.jpg,1280,720,truck,463,105,593,314
000001.jpg,1280,720,bus,720,35,799,112
000002.jpg,1280,720,truck,42,150,402,580
000002.jpg,1280,720,car,498,199,573,274
000003.jpg,1280,720,truck,422,76,497,162
000003.jpg,1280,720,car,592,102,636,143
000003.jpg,1280,720,car,619,140,679,198
000003.jpg,1280,720,truck,704,23,796,88
000003.jpg,1280,720,truck,603,27,635,59
000003.jpg,1280,720,car,477,38,497,55
000004.jpg,1280,720,car,907,214,1020,314
000004.jpg,1280,720,car,778,124,847,171
000004.jpg,1280,720,car,709,66,749,95
000004.jpg,1280,720,truck,445,59,503,132
000005.jpg,1280,720,car,794,102,843,135
000005.jpg,1280,720,truck,714,23,800,88
000005.jpg,1280,720,car,633,45,665,70
000005.jpg,1280,720,car,574,46,593,57
000005.jpg,1280,720,car,566,34,587,46
000005.jpg,1280,720,car,516,29,532,44
000005.jpg,1280,720,car,533,35,548,46
000006.jpg,1280,720,car,380,176,448,236
000006.jpg,1280,720,car,611,128,669,173
000007.jpg,1280,720,car,255,588,495,720
000007.jpg,1280,720,truck,1,305,263,709
000007.jpg,1280,720,car,483,225,579,357
000007.jpg,1280,720,car,831,160,909,217
000007.jpg,1280,720,chemical_vehicle,845,37,1003,203
000007.jpg,1280,720,car,517,119,565,158
000007.jpg,1280,720,car,614,121,672,163
000007.jpg,1280,720,car,514,84,556,114
000007.jpg,1280,720,truck,662,30,712,69
000008.jpg,1280,720,car,935,252,1048,333
000008.jpg,1280,720,car,851,143,928,198
000008.jpg,1280,720,car,588,85,629,124
000008.jpg,1280,720,car,698,83,753,120
000008.jpg,1280,720,truck,1033,92,1280,277
000008.jpg,1280,720,car,646,41,676,65
000008.jpg,1280,720,car,483,42,508,60
000008.jpg,1280,720,car,567,36,591,52
000010.jpg,1280,720,truck,114,311,517,720
000010.jpg,1280,720,car,472,35,493,53
000010.jpg,1280,720,car,568,77,604,106
000010.jpg,1280,720,car,763,123,825,163
000010.jpg,1280,720,car,630,57,665,78
000010.jpg,1280,720,car,676,56,707,76
